Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes
Going Up,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Electronica","Featuring heavily processed orchestral and vocal samples, this modern hiphop/edm beat is spacy and unique",95,Am,4/4,Aeolian,2:26,"Synthesizer, Samples, Orchestra, Synth Bass, Wobble Bass","Commercial, Modern, Hip hop, EDM, Club, Driving at night, Driving, Pop Beat, Squirrel Vocals, Smoking, Smoky","Relaxed, Mysterious, Dark, Cool, Sexy, Romantic, Sultry","Commercial, Teen, Romance, Sci-fi, Drama, Video Game, ",?,3,,,-,,checked,
Chocolate Chip Cookie Dough,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Electronica",An upbeat and sparkly EDM beat reminiscent of a futuristic ice cream truck.,115,Cm,4/4,Aeolian,2:29,"Elec. Drums, Synth Bass, Synth, Synth Lead, Glockenspiel","Ice cream, Ice cream truck, magic, toys, playful, shopping, futurebass, wobble, coffee shop, toy factory","Bouncy, Cool, Fun, Happy, Joyful, Light, Uplifting, Sweet, Playful, Cheerful","Teen, Romance, Commercial","Owl City, Kygo",3,,,-,,checked,
Tourmaline,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Hyperpop",Upbeat indie electronic pop tune,92,Ebm,4/4,Aeolian,1:43,"Elec. Drums, Synth, Synth Bass","indie, boys, upbeat, electronic, pop, electronica, PC, Music, videogame, uplifting, cheerful, sweet, cheerful happy, bouncy, calm, fun, happy, joyful, light, playful, positive, video game, drum machine, synthesiser, electric piano, friendly, cute, electronica","Happy, Nostalgic, ","Reality, Teen, romance",?,3,,,-,,checked,
Busy Bee,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Indie",Bubbly and cute bell driven corporate or youtube underscore.,87,C,4/4,Ionian,2:43,"Drums, Bells, Marimba, Synth, Synth Bass","Busy, Manic, Caffeinated, Upbeat, Cheerful, Working, Cleaning, Spring Cleaning, cleaning house, Active","Active, Cheerful, Busy, Happy",Commercial,?,2,,,-,,checked,
Bright and Shiny,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Pop",A cheerful synthpop bed,65,Eb,4/4,Ionian,2:46,"Elec. Drums, Synth, Synth Pad, Synth lead","Cheerful, Uplifting, Low-budget, EDM, repetitive, slow, confident","Confident, Solid, Happy, Hopeful","Romance, Reality, Drama","Kygo, Hardwell",2,,,-,,checked,
Reliable Contact,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Score, Action","Hybrid EDM / Action type score, featuring sounds inspired by cop or spy shows from the 1980s, with a modern spin",125,Cm,4/4,Aeolian,2:24,"Elec Drums, Synth Bass, Synth, Synth Pad,","Dance, Chase, Chase Scene, Drug Dealing, Spies, Spy, Synth Bass, New Wave, Spying, Club, Disco, Discotheque Detective, Investigator, Investigation, Secret Agent, Operation, Operative, 1980s, 1980, EDM, Electronic Dance Music, Electronic, 80s","Sneaky, Dark, Moody, Mysterious, Resolute, Driving, Determined, Powerful, ","Action, Chase/Fight, Crime, Drama, Retro, Elimination, Game Show, Video Game, Sci-Fi",?,2,,,-,,checked,
Stellate,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"EDM, Trance, Happy Hardcore",A fast-tempo happy-hardcore or uplifting trance track,170,Gm,4/4,Aeolian,4:48,"Synth, Synth Bass, Elec. Drums","Rave, Trance, Party, Uplifting, Driving, Party, Car Commercial, Retro, Raver, Video Game, Gamer, Games  ","Driving, Cheerful, Energetic, Excited, Happy, Playful, Positive","Teen, Commercial, Romance, Drama, Sci-fi",ATB,1,,,-,,checked,
Imagine Ecuador,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Tropical House",A Sweet and cheerful tropical house tune ready for the beach,115,G,4/4,Ionian,1:38,"Synth, Synth Bass, Elec Drums, Xylophone, Percussion, Synth Flute","tropicalhouse, deephouse, housemusic, dj, progressivehouse, tropical, edm, futurehouse, house, tropicalvibes, kygo, electronicmusic, architecture, kygomusic, reggaemusic, newmusic, hardstyle, nudisco, dj, dubstep, trance, techhouse, homedecor, dancemusic, techno, producer, interiordesign, interior, design, kygo, cheerful,, tropical, island, beach, sunset, reef, coral, ecuador, waves, ocean, sea, dolphin, scuba diving, snorkeling, submarine, kayak, kayaking, surfing, freedom, stunnas, sunglasses, shades, cabana, tiki, gecko, lizard, parrot, parrots, island, hawaii, caribbean, south pacific , temptation island, temptation, paradise, volcano, parasailing, paragliding, hang gliding, margarita","carefree, cheerful, fun, happy, joyful, carefree, adventurous","Romance, Romantic Comedy, Teen, Drama",Kygo,4,,,-,,checked,
Adularescence,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Tropical House",Piano driven tropical house background music,135,Em,4/4,Aeolian,2:02,"Elec. Drums, Synth Lead, Cinematic Drums, Piano, Plucks","Beach, tropical, chill, beach, island, pop, ocean, Temptation Island, reality tv, reality show","Chill, relaxed, upbeat, happy, cheerful, low-key, carefree","romance, teen, romantic comedy, reality",?,2,,,-,,checked,
Ready to Go,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, Tropical House, Pop",Upbeat tropical party anthem with female vocals,180,Gm,4/4,Aeolian,2:26,"Elec Drums, Female Vox, Synth Bass, Synth Plucks, Piano, percussion","beach, summer, tropical, pop, tropical house, house, epic, anthem, party, cycle, drinking, cocaine, island, hawaii, ocean, vacation, travel, upbeat, temptation","joyful, cheerful, upbeat, party, epic, carefree, fun, glamorous, happy, playful, upbeat","Drama, main title, romance, teen",?,5,,,-,,checked,
Space Cats,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, videogame",Bleepy synth tune reminiscent of Nyan Cat,88,Gb,4/4,Ionian,1:10,"Synth, elec. drums, synth bass","silly, cute, video game, arcade, gamey, videogame, nintendo, nyan cat, nyan, cat, spazzy, random, innocent, fun, adorable, wacky, weird, spastic, neon, bright, colorful, swing, fast, slow, speedy, quick, ","cute, bouncy, cheerful, epic, fun, playful, positive, whimsical, youthful","animation, commercial, video game, teen",?,3,,,-,,checked,
Cheerful Arcade,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"EDM, videogame","Fast, bleepy, arcadey synth tune,",170,Db,4/4,Mixolydian,1:37,"Synth, Synth Bass, Elec. Drums","video game, manic, caffeine, speedy, zippy, hyper","cheerful, happy, hyper",video game,?,1,,,-,,checked,
A Beach Margarita,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Electronic, Pop","Upbeat indie electronica track with elements of futurebass, and a nice epic intro build",154,G,4/4,Ionian,2:11,"Synth, Female Vox, DrumSet,","beach, happy, carefree, ocean, island, summer, indie, margarita","relaxed, joyful, upbeat, ","Teen, Romantic Comedy, ",?,4,,,-,,checked,Samples Megan Steinke
Tropical Sugar,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,Electronica,A super sugary and happy upbeat tropical indie pop tune,115,Db,4/4,Ionian,3:38,"Elec Drums, Piano, Synth, Synth Bass, Marimba","speedy, dance, pop, tropical, island, beach, sand, party, melodic, squiggly, sugary","cheerful, happy, upbeat","teen, commercial, animation","Owl City, Kygo, You're So Cool (Hans Zimmer)",3,,,-,,checked,
Mystic Flute,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ethnic, Score","A flute and synth piece perfect for native american or island scenes, staring into a volcano or watching an ancient ritual unfold",115,Cm,4/4,Aeolian,2:58,"Synth, Percussion, Ethnic flute","Native, Native American, Tribal, Mystery, Volcano, Island, Ethnic, Flute, Spirit, Ghosts, Ancestors, Documentary, Death, Tribe, Ritual, Hopi, ","Brooding, Dark, Spooky, Meditative, Melancholy","Documentary, Romance, Military, Horror/Thriller/Sci-fi, Drama",?,4,,,-,,checked,
Our Love's Like an Apple,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 50% Eden Edell 50%,Nikolas Korolog,Folk,Sweet and romantic guitar/vocal folk tune,68,G,4/4,Ionian,2:11,"Guitar, Female Vox","Romance, Romantic, Apple, Sweet, Cute, Cutesy, Solo, Guitar/vocal","Romantic, Happy","Commercial, Drama, Reality",?,4,,,-,,checked,
Brass Attack,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Hip Hop, Beat",Brass stab beat with bendy lead guitar,70,G,4/4,Ionian,1:27,"Drums, Brass, Elec. Guitar","Action, sports, trucks, extreme, extreme sports, beer, rock, muddin' commercial","Heavy, Hardcore, Motivational","Commercial, Reality",?,3,,,-,,checked,
Why do I Try so hard when Everybody Else just Lies,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Hip hop, Pop",very 'different' sounding hip hop beat with cool textures,55,A,4/4,Ionian,3:03,"Elec. Drums, Synth, Synth bass","Hip hop, indie, synth, synthpop, whiny, annoying, experimental, pop","Complaining, Happy, Upbeat, ","Reality, Romance, Drama",?,2,,,-,,checked,
Cosmic Archaeology,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Hip Hop, Tension","A tropical instrumental hip-hop underscore type beat featuring hang drum, strings, and bansuri.",130,Gm,4/4,Aeolian,4:11,"Elec. Drums, Hang Drum, Flute, Strings, String Section, Synth Bass","heartbeat, tension, waiting, tropical, island, beach, tiki torch, maui, hawaii, relaxing, ethnic, trap, hip hop, birds, rainforest, summer","Moody, Chill, Hot, Romantic, Deep","Romance, Romantic Comedy, Teen",?,2,,,-,,checked,
Ascendancy,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Hip-Hop,a victorious Horn-driven hip-hop beat with an EDM sensibility,133,G#m,4/4,Aeolian,1:38,"Trap Drums, Synth Bass, Horn Section, Synth Pluck","Fight, Sports, Boxing, Victory, Trap, Hip Hop, Fighting, MMA, Win, Winning ","Adventurous, Aggressive, Active, Competitive, Confident, Determined, Energetic","Action, Sports, Game Show",Rocky,2,,,-,,checked,
Adagvng,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Hip-Hop,Heavy minimal hip hop groove,113,Dm,4/4,Aeolian,1:52,"Elec. Drums, Synth, Piano, Synth Bass","Heavy, Hiphop, beat, beats, hip hop, dark, trap, party, drinking, partying, rap, rapper, angry, aggressive, confident, cool, determined, disturbing, dramatic, energetic, evil, groovy, intense, ominous, foreboding, powerful, strange, suspense urban, synthesiser, drum machine, piano, Gangster","Dark, Hardcore, Heavy","Reality, Drama, Action",?,2,,,-,,checked,
Glass Soul,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Hip-hop,"Slow, abstract, and atmospheric hip hop beat ",135,Am,4/4,Aeolian,2:06,"Synth, elec. drums, bells","Glassy, hip hop, beat, sedate, rap, glass, shiny, tik tok, instagram, hangover, hung over, hiphop, edm, relaxed, melancholy, low, lil nas x, ethereal, surreal","calm, chill, cool, contemplative, laid-back, lonely, pensive, reflective, smooth","drama, romance, talk show",?,3,,,-,,checked,
Call me Nemo,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Hip-hop,Hip-hop tune featuring plucked strings.,80,Dm,6/8,Aeolian,1:32,"Elec. Drums, Synth Bass, Strings, Plucked Strings","Hiphop, hip hop, beat, beats, rap, sale, plucked, heavy, alternative, aggressive, big, confident, cool, driving, epic, groovy, ominous, powerful, urban, strings, synthesiser, drum machine, sail","Plodding, Moody, Determined, Solid, Confident","Commercial, Drama, Crime",?,2,,,-,,checked,
Firewine,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Jazz,Jazzy tune with a fun piano solo,115,Em,4/4,Aeolian,1:38,"Piano, Drum set, Guitar","Jazz, Piano solo, keyboard solo, solo, lick, smooth, smooth jazz, jazzy, smoky, jazz club, club, speakeasy, romance, coffee, coffee shop, shopping, upscale, shopping mall, acoustic","laid-back, cool, glamorous, positive, relaxed, chill, ","commercial, talk show, romance, romantic comedy, drama",The Yellowjackets,4,,,-,,checked,
Aquiver,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Logo, Bumper",A short corporate intro stinger or bumper piece,129,Db,4/4,Ionian,0:32,"Synth, Strings, Horn, Harp","Corporate, Intro, Introduction, Stinger, Bumper, Logo, Sound Logo, Corporation, innovative, innovation, inspirational, inspiration, inspire, short, miniature, mini, commercial, advertisement, ad, acoustic","inspirational, cheerful, dreamy, epic, hopeful, inspirational, intrigued, pleasant, positive, smooth, uplifting","broadcast/news, builds, game show, talk show",?,3,,,-,,checked,
Arise,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,New Wave,Synth driven 80's inspired new wave type tune,145,Gm,4/4,Aeolian,1:48,"Elec Drums, Synth Bass, Synth, Synth Horn, ","Disco, Discotheque, New Wave, Cocaine, Party, Ghostbusters, Retro, Throwback, 1980s, 1980, 80s, Synth, Synth Brass, Saturday Night Fever, DJ, Disc Jockey, Synth Pop","Confident, Cool, Nostalgic, Driving, Party, Smooth, Strong, Upbeat","Romance, Romantic Comedy, Retro, Crime, Video Game, Crime, Action",?,2,,,-,,checked,
Reckoning,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Score Orchestral,A simple and percussive string section and synth build,120,Em,4/4,Aeolian,1:14,"String Section, Orchestra, Percussion","Waiting, Reckoning, Final Decision, Excitment, military, competition, anticipation, giddy, climactic, epic, triumphant, chef, cooking, game, game show, winning, anticipatory","Excited, Triumphant, Confident, Epic, noble, resolute, tense","Competition, Sports, Builds, Game Show",?,3,,,-,,checked,
New King,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Score, Orchestral","A regal and militaristic horn driven orchestral cue, featuring snare drums like a military march",176,Cm,4/4,Aeolian,1:39,"Strings, Horn, Percussion, Orchestra, Clarinet, Oboe","Reckoning, Arrival, Military, Medieval, Epic, King, Regal, Royal, Star Wars, March, Coronation, Court, Kingdom ","Noble, Epic, Resolute, Romantic, Triumphant","Medieval, Action, Animation, Drama, Heroic, Military","Star Wars, Game of Thrones",2,,,-,,checked,
Mountain Refuge,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Orchestral,"A blooming orchestral cue featuring french style impressionist piano processed to sound like an old record, leading into an idyllic flute run and string swell, like a sunrise on a lakeside manor in the mountains",105,Ebm,4/4,Aeolian,2:27,"Orchestra, Flute, Piano, Horn","old record, old, french, france, morning, mountains, manor, refuge, idyllic, arrival, peace, serenity, serene, parasol, soda pop, dog, mountain range, Nature, Lake,","Calm, Dreamy, Nostalgic, Relaxing, Romantic, Melancholy, Sentimental, whimsical","Romance, Romantic Comedy, Main Title, Retro, Animation, Children, Builds, Drama",?,5,,,-,,checked,
Fierce Efficiency,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Score, Orchestral, Trailer",An orchestral trailer-music type track with a dramatic build and an uplifting ending,190,Cm,4/4,Aeolian,0:59,"Orchestra, Synthesizer, Horn, Strings","epic, trailer, sci-fi, space ship, launch, landing, spy, mission, heist, break-in, chase, landscape, mountains ","exciting, confident, cool, inspirational, victorious, energetic, sports, news","Trailer, Builds, Action, Sci-fi, Reveal, Main Title, Heroic, Sports, News",Hans Zimmer,3,,,-,,checked,
Attack of the Horsemen,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Orchestral, Video game",Dramatic riding type orchestral theme with horn lead,80,C#m,6/8,Aeolian,1:05,"Orchestra, Cello, Horns, Violins","Attack, Dramatic, War, Riding, Horses, LOTR, Lord of the Rings, Knights, RPG, Age of Empires","Dangerous, Menacing, Dramatic, Mean","Action, Medieval",?,4,,,-,,checked,
Bicycle and a Parasol,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Piano, Classical",Melancholic and French-inspired piano piece,90,Cm,3/4,Aeolian,2:40,Piano,"Nostalgic, 1920s, piano solo, sepia, black and white, old, ancient","Lonesome, Nostalgic, ","Documentary, Romance",?,3,,,-,,checked,
Ballad of the Bat,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Pop,A haunting and odd-meter pop song,98,C#m,Varies,Dorian,4:16,"Synth, Strings, Elec. Drums, Female Vox","Eerie, Majestic, Sylvan, Magical, Delicate, Forest, Glowing, Eerie, Sparkly, Flitting","Tentative, Eerie","Romance, Drama",Enya,3,,,-,,,
Don't Stop Dancing,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Pop,A pop song,-,-,4/4,Aeolian,3:18,"Elec. Drums, Synth, Female Vox",-,-,-,?,2,,,-,,checked,
Take What's Mine,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Pop,Billie-eilish inspired...,,,4/4,Aeolian,1:19,"Elec. Drums, Synth, Synth Bass, Female Vox",,,,Billie Eilish,1,,,-,,,
Anchor / The Lee Side of Love,STATUS UNKNOWN,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Pop,-,-,-,4/4,Ionian,4:10,,,,,?,3,,,-,,,
Daisy,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Pop,A dark Billie Eilish inspired synth / trap ballad about a first meeting.,100,Am,4/4,Aeolian,3:58,"Female Vox, Synth Bass, Piano, Elec. Drums, String Section","Fearful, Tentative, First Meeting, Romance, Frightened, Dark, Ballad, Lovesong, Self-doubt, dangerous, heartbreak, heartbreaker, city, dark, billie, eilish, trap, emo, rnb, self-esteem, hurt, pain, sadness, pop ballad, trap bass, god is a woman, this is america","moody, dark, gloomy, melancholy, fearful","Drama, Romance, Commercial, Teen",Billie Eilish,5,,,-,,checked,"2 versions of this, one with Ariana Macdavid and another with Hannah Faith"
Otro Narcorrido,Atrium,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,Pop,"Spanish-language tune about drug trafficking, with spanish guitar",130,Em,4/4,Aeolian,2:10,"Elec Guitar, Synth, Elec bass, Piano, Male Vox, Female Vox","drugs, narco, latin, latin america, cartel, pablo escobar, cocaine","dark, moody, melancholy","documentary, drama",Havana by Camilla Cabello,2,,,-,,checked,Niko / Lexi Vocals
Pull the Trigger,Atrium,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,Pop,An upbeat pop song about making the first move,102.5,Gm,4/4,Aeolian,2:49,"Elec Guitar, Elec Drums, Female Vox, Synth Bass","pop, groove, romance, kiss, relationship, gun, shoot","romantic, exciting, ","romance, romantic comedy, teen, drama",?,2,,,-,,checked,Lexi Scatena Vocals
I Love You,Atrium,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,Pop,I hate this song it's embarassingly bad please let's forget it ever happened. Nerdy indie electronic love song with puns pretaining to math,140,F#,4/4,Ionian,3:18,"Synth, Elec Drums, Male Vox.","nerdy, geeky, nerd, geek, math, mathematics, indie, sandstorm, lovesong, cute","happy, cute, love","romance, romantic comedy, teen",A stupid fart,1,,,-,,checked,
Ghosted,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 85% Lexi Scatena 15% Unofficial,Nikolas Korolog,Pop,Modern pop tune about a failed relationship. Like the opposite of Call me Maybe.,140,A,4/4,Ionian,3:17,"String Section, Drums, Synth, Female Vox","upbeat, romance, unrequited, love, pop, ","upbeat, fun, pop, cheerful","romance, romantic comedy, teen",Carly Rae Jepsen,3,,,-,,checked,
RIP Current Trend,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 85% Danielle Ferrari 15% Unofficial,Nikolas Korolog,Pop,Interesting and different tropical EDM tune,80,b,4/4,Mixolydian,3:04,"Synth, synth bass,  Elec. Drums, Male Vocals, Female Vocals","Ocean, Africa, Ethnic, Island, Oasis, Beach, Tropical","Happy, Introspective, Cheerful, Uplifting","Documentary, Drama, Reality",?,3,,,-,,checked,
Free,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 85% Lexi Scatena 15% Unofficial,Nikolas Korolog,Pop,Pop tune written for a 'free' item promotion,105,F,4/4,Lydian,3:38,"Synth, synth bass,  Elec. Drums,  Female Vocals","Awkward, Weird, ",Happy,"Reality, Drama",?,1,,,-,,checked,"Not a good song, embarrassing"
Don't Stop Dancing,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 85% Lexi Scatena 15% Unofficial,Nikolas Korolog,Pop,Pop tune written for an early pitch,130,G,4/4,Ionian,3:18,"Synth, synth bass,  Elec. Drums,  Female Vocals","club, dancing, clubbing, upbeat, cheerful","Earnest, Lonely","Reality, Drama",?,1,,,-,,checked,"Not a good song, embarrassing"
Sunny Side Love,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Pop, Acoustic","Soft, uplifting pop rock",73,Db,4/4,Ionian,2:49,"Piano, Drums, Guitar, Trumpet, Organ","Sunny, Working, hard work, rock, acoustic, guitar, piano, reality","Encouraging, uplifting, hopeful","Reality, Romance",?,3,,,-,,checked,
Keep My Distance,? Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 85% Lexi Scatena 15% Unofficial,Nikolas Korolog,"Pop, Ballad",Piano/vocal pop ballad ,,,4/4,Ionian,4:00,,,,,?,3,,,-,,,
Holding my Breath,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Pop, Ballad",A sad and moving acoustic piano ballad inspired by Lewis Capaldi's Somebody You Loved,86,A,4/4,Ionian,3:26,"Piano, Male Vox, Drum Set, Cello,","Lewis, Capaldi, Somebody, You, Loved, Change, Liar, Lie, Breakup, Break, Up, Depressing, Moving, Emotional, Acoustic, Harmony, Boy, Boy Vocals, Pop, Ballad, Apotheosis, Ending, Title Track, Ballad, Piano, Live, Live recording, emotion, Loss, death, Sinking, ","Gloomy, Lost, Romantic, Sad, Sentimental, Depressed, Dark, Lonely","Romance, Romantic Comedy, Teen, Main Title, Heroic, Crime",Lewis Capaldi,4,,,-,,checked,
Blacked Out,? Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Pop, Rock","Pop, electronic rock, bad song",,,4/4,Ionian,3:21,,,,,?,1,,,-,,,
For Amber,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,"Pop, Synthpop","Uplifting electronic pop song with a positive, inspirational message",108,A,4/4,Ionian,2:45,"Synth, Elec Drums, Synth Flute, Male Vox","christian, uplifting, optimistic, bouncy, synthpop","happy, uplifiting, optimistic, cheerful","Teen, Commercial",Owl City,3,,,-,,checked,Niko Vocals
Halo High,(Atrium?),Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Pop, Synthpop",Uplifting and highly melodic synthpop song with a tempo split at 45/90/180 and delicious doubletime triplet fill,90,G,4/4,Ionian,3:29,"Synth, Synth Bass, Elec. Drums, Strings, Female Vox","Uplifting, Epic, Sweet, Dramatic, Awesome, Synthpop, Synth, Modal, Mode, Max Martin, Greeting, Hello, Sweetness, Rush, Sugar, Sugar Rush","Happy, Joyous, Cheerful, Majestic, ","Teen, Romance, Drama",Carly Rae Jepsen,5,,,-,,checked,
